Company Name,Industry,Symbol,Series,ISIN Code,Sector
360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038,Financial Services
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022,Capital Goods
ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025,Construction Materials
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027,Capital Goods
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017,Financial Services
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010,Power
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,Metals & Mining
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,Power
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,Services
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01029,Power
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023,Oil Gas & Consumable Fuels
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013,Financial Services
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014,Healthcare
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024,Construction Materials
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,Healthcare
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029,Capital Goods
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,Consumer Durables
Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046,Capital Goods
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037,Healthcare
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011,Consumer Services
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,Financial Services
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025,Financial Services
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,Automobile and Auto Components
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01032,Financial Services
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026,Financial Services
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012,Financial Services
Bajaj Housing Finance Ltd.,Financial Services,BAJAJHFL,EQ,INE377Y01014,Financial Services
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039,Financial Services
Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016,Financial Services
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01026,Capital Goods
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024,Capital Goods
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025,Automobile and Auto Components
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026,Capital Goods
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011,Oil Gas & Consumable Fuels
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024,Telecommunication
Bharti Hexacom Ltd.,Telecommunication,BHARTIHEXA,EQ,INE343G01021,Telecommunication
Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013,Healthcare
Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039,Consumer Durables
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026,Automobile and Auto Components
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,Fast Moving Consumer Goods
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029,Capital Goods
Canara Bank,Financial Services,CANBK,EQ,INE476A01022,Financial Services
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024,Financial Services
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026,Healthcare
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014,Oil Gas & Consumable Fuels
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,EQ,INE704P01025,Capital Goods
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01025,Information Technology
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022,Fast Moving Consumer Goods
Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025,Services
Coromandel International Ltd.,Chemicals,COROMANDEL,EQ,INE169A01031,Chemicals
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020,Capital Goods
DLF Ltd.,Realty,DLF,EQ,INE271C01023,Realty
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026,Fast Moving Consumer Goods
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024,Healthcare
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020,Consumer Durables
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01031,Healthcare
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021,Automobile and Auto Components
Eternal Ltd.,Consumer Services,ETERNAL,EQ,INE758T01015,Consumer Services
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ,INE302A01020,Automobile and Auto Components
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029,Consumer Services
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029,Financial Services
Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013,Healthcare
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019,Oil Gas & Consumable Fuels
GMR Airports Ltd.,Services,GMRAIRPORT,EQ,INE776C01039,Services
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035,Healthcare
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP,EQ,INE260B01028,Fast Moving Consumer Goods
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028,Fast Moving Consumer Goods
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027,Realty
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021,Construction Materials
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027,Information Technology
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025,Financial Services
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034,Financial Services
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014,Financial Services
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034,Consumer Durables
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026,Automobile and Auto Components
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020,Metals & Mining
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020,Capital Goods
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015,Oil Gas & Consumable Fuels
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027,Fast Moving Consumer Goods
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,EQ,INE267A01025,Metals & Mining
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,EQ,INE07Y701011,Capital Goods
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO,EQ,INE031A01017,Financial Services
Hyundai Motor India Ltd.,Automobile and Auto Components,HYUNDAI,EQ,INE0V6F01027,Automobile and Auto Components
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021,Financial Services
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,INE765G01017,Financial Services
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,EQ,INE092T01019,Financial Services
IRB Infrastructure Developers Ltd.,Construction,IRB,EQ,INE821I01022,Construction
ITC Hotels Ltd.,Consumer Services,ITCHOTELS,EQ,INE379A01028,Consumer Services
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025,Fast Moving Consumer Goods
Indian Bank,Financial Services,INDIANB,EQ,INE562A01011,Financial Services
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029,Consumer Services
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010,Oil Gas & Consumable Fuels
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020,Consumer Services
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,EQ,INE053F01010,Financial Services
Indian Renewable Energy Development Agency Ltd.,Financial Services,IREDA,EQ,INE202E01016,Financial Services
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL,EQ,INE203G01027,Oil Gas & Consumable Fuels
Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017,Telecommunication
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012,Financial Services
Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01032,Consumer Services
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021,Information Technology
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027,Services
JSW Energy Ltd.,Power,JSWENERGY,EQ,INE121E01018,Power
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038,Metals & Mining
Jindal Steel Ltd.,Metals & Mining,JINDALSTEL,EQ,INE749A01030,Metals & Mining
Jio Financial Services Ltd.,Financial Services,JIOFIN,EQ,INE758E01017,Financial Services
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,INE797F01020,Consumer Services
KEI Industries Ltd.,Capital Goods,KEI,EQ,INE878B01027,Capital Goods
KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,INE04I401011,Information Technology
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014,Consumer Durables
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01036,Financial Services
L&T Finance Ltd.,Financial Services,LTF,EQ,INE498L01015,Financial Services
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026,Financial Services
LTIMindtree Ltd.,Information Technology,LTM,EQ,INE214T01019,Information Technology
Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030,Construction
Life Insurance Corporation of India,Financial Services,LICI,EQ,INE0J1Y01017,Financial Services
Lodha Developers Ltd.,Realty,LODHA,EQ,INE670K01029,Realty
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037,Healthcare
MRF Ltd.,Automobile and Auto Components,MRF,EQ,INE883A01011,Automobile and Auto Components
Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN,EQ,INE774D01024,Financial Services
